Age;Sex;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
37;Persons;914533;881058;884728;883715;892951;894377;858188;797099;781499;794509;806947;818539;854894;892736;920345;903384;923875;928721;945806;946314;951432;941668;926028;902691;883249
38;Persons;886388;882692;881776;893429;895217;859205;800131;784263;797556;810087;820965;855685;893386;922706;905040;926954;930120;948046;947037;952516;943119;925965;903084;883101;849669
39;Persons;887642;879658;891895;896002;859773;800673;786726;800523;813246;823587;857709;893601;924013;905763;928136;932266;948562;949064;953184;944437;927446;903344;883559;850395;833083
40;Persons;883372;890075;894322;860053;800679;786899;802973;816034;826070;859933;895019;923650;904374;929702;930742;948962;947083;954851;943509;927259;906561;881083;850022;832994;820064
41;Persons;892977;892737;858688;800682;786783;803625;818463;828325;862029;896664;925843;902552;928157;931385;946448;947397;952989;945096;925963;906559;883267;849166;833774;821008;794797
42;Persons;895180;857354;799132;786439;804190;819495;830659;864118;898446;928124;904643;926217;929271;946199;945108;953489;943710;927078;906001;882708;851174;833181;822064;795472;770328
43;Persons;859217;797572;784721;804831;820472;831944;866398;900586;930906;907162;928467;926841;943444;944744;951342;944230;925515;907397;881173;850759;834981;821861;796717;770611;749944
44;Persons;798711;783368;803478;820779;832534;867086;902015;933131;909319;930480;928632;940287;942088;951137;942644;925769;906425;881823;849393;834609;822919;796362;771256;750721;756457
45;Persons;784316;802672;819336;832769;867585;902447;935205;911480;932680;930548;941287;940256;950257;942212;925231;904548;881032;848660;833635;821815;792843;769890;750709;755906;749170
46;Persons;803127;818961;831197;867304;902272;936052;913174;934482;932476;942374;940889;948890;941596;924541;904403;878452;847880;832807;820190;791904;766654;749480;755211;748401;738565
47;Persons;818946;830850;865357;901874;936773;914198;936160;934280;943651;941709;949361;940601;923755;904375;877520;845560;832006;818605;790476;765805;745599;753877;747452;738137;747581
48;Persons;830471;864586;899621;936385;914674;936976;935817;944725;942558;950030;940755;922489;904149;876583;844817;829553;817090;789056;764523;744000;750270;745659;737639;746036;768527
49;Persons;863770;898663;934269;914326;937411;936422;945288;943113;950405;940707;922066;903329;875452;843904;828642;814114;787551;763211;741913;748686;742664;736224;744437;767096;793618
50;Persons;897164;933514;912391;936740;936679;945132;943236;950610;940708;921713;902764;874015;841649;827194;813135;785247;760978;739936;745262;740388;734068;741330;765605;791346;848926
51;Persons;931552;911724;934223;935676;944402;942454;950292;940344;921292;901974;873259;840231;824781;811177;784484;758825;737176;743467;737431;730701;739439;762745;789764;846771;905094
52;Persons;909401;933348;933005;942334;941146;949195;939584;920316;901154;872307;839369;823141;807823;782428;758165;734286;740571;735947;726518;736259;760305;786537;845273;900421;728019
53;Persons;930683;931908;939059;938851;947567;938075;919160;900059;871169;838438;821809;805471;779317;756455;732886;737656;733472;723980;732384;756632;783671;841906;896143;726309;713446
54;Persons;928621;937271;935060;944692;936177;917345;898524;869844;837321;820373;803649;777153;753424;730296;736229;730915;720340;729937;752130;779715;837737;888933;725971;711907;706140
55;Persons;933730;933023;940623;932757;914962;896390;867878;835848;818893;801834;774901;751163;727570;733810;726957;716600;726628;748578;775385;831108;886632;723647;709711;702628;676500
56;Persons;929471;938137;928229;911326;893542;865280;833657;816797;799733;772386;748478;724459;730776;724747;711463;722942;744471;771131;825143;882224;718512;706657;698187;673284;614232
57;Persons;934008;925295;906353;889633;861927;831134;814193;797268;769780;745690;721670;727595;722131;708148;718010;740306;766836;819491;878726;711956;701586;693951;669530;610583;574955
58;Persons;920783;903323;884555;857748;827848;811094;794145;766673;742789;718510;724221;719216;704245;714562;734958;762166;813833;875500;706126;695140;690424;665467;606315;572124;599775
59;Persons;898679;880688;852572;823564;807401;790672;763087;739433;715302;720658;715510;699965;710825;730949;756138;807785;872115;700326;689208;685401;660490;601731;568795;595640;602612
60;Persons;875662;848435;818393;802727;786430;758857;735526;711408;716866;711461;695886;706330;726575;751203;801790;865565;693225;682436;680719;655278;597120;564733;591520;597908;596737
